,lat,lon,Severity,filename
4732,33.855000000000004,-118.096,2.1346153846153846,33.855000000000004_-118.096
9208,37.554,-122.291,2.35,37.554_-122.291
3069,32.819,-96.636,2.2777777777777777,32.819_-96.636
27666,33.480000000000004,-112.221,1.181818181818182,33.480000000000004_-112.221
2230,30.386,-97.649,2.0689655172413794,30.386_-97.649
15280,42.36,-88.001,2.3666666666666667,42.36_-88.001
26349,33.957,-118.231,2.0,33.957_-118.231
27080,37.623,-122.079,2.0,37.623_-122.079
13234,40.696,-73.982,2.375,40.696_-73.982
17610,30.316,-81.676,2.0,30.316_-81.676
15709,43.024,-88.098,2.217391304347826,43.024_-88.098
8937,37.343,-121.856,2.098360655737705,37.343_-121.856
15236,42.338,-88.098,2.566666666666667,42.338_-88.098
13179,40.684,-73.644,2.2444444444444445,40.684_-73.644
5529,33.993,-117.357,2.130434782608696,33.993_-117.357
7681,35.144,-90.023,2.3,35.144_-90.023
7126,34.221000000000004,-118.363,2.024390243902439,34.221000000000004_-118.363
11258,39.015,-77.006,2.074074074074074,39.015_-77.006
10224,38.506,-90.349,2.4074074074074074,38.506_-90.349
25616,34.236000000000004,-118.474,2.0,34.236000000000004_-118.474
18188,29.969,-90.03,2.0,29.969_-90.03
1282,28.448,-81.35600000000001,2.3,28.448_-81.35600000000001
15481,42.477,-83.196,2.75,42.477_-83.196
4325,33.764,-80.964,2.380952380952381,33.764_-80.964
20330,29.771,-95.41,2.0,29.771_-95.41
15305,42.368,-88.17,2.576923076923077,42.368_-88.17
1599,29.513,-98.554,2.2777777777777777,29.513_-98.554
17033,47.302,-122.254,2.411764705882353,47.302_-122.254
16385,45.064,-93.214,2.064516129032258,45.064_-93.214
9374,37.654,-122.491,2.2222222222222223,37.654_-122.491
18514,40.635,-111.91,2.0,40.635_-111.91
3806,33.49,-117.663,2.210526315789474,33.49_-117.663
2143,30.289,-97.724,2.1875,30.289_-97.724
618,26.114,-80.31400000000001,2.012987012987013,26.114_-80.31400000000001
19972,35.665,-78.699,2.0,35.665_-78.699
11392,39.056,-76.632,2.2222222222222223,39.056_-76.632
22812,33.876,-118.148,2.0,33.876_-118.148
12742,40.115,-74.89,2.4,40.115_-74.89
3161,32.855000000000004,-96.557,2.473684210526316,32.855000000000004_-96.557
1662,29.686,-95.38,2.571428571428572,29.686_-95.38
24552,44.97,-93.336,2.0,44.97_-93.336
28148,37.922,-122.062,1.963636363636364,37.922_-122.062
8439,36.677,-80.712,2.1481481481481484,36.677_-80.712
5043,33.896,-84.266,2.136363636363636,33.896_-84.266
5114,33.911,-84.357,2.2916666666666665,33.911_-84.357
19973,33.966,-118.083,2.0,33.966_-118.083
482,25.971,-80.289,2.08,25.971_-80.289
24525,28.546,-81.205,2.0,28.546_-81.205
15682,42.976,-85.678,2.3076923076923075,42.976_-85.678
1918,29.898,-95.413,2.3703703703703702,29.898_-95.413
18935,30.43,-91.058,2.0,30.43_-91.058
20323,38.907,-77.008,2.0,38.907_-77.008
4694,33.851,-117.88,2.055555555555556,33.851_-117.88
27336,28.331,-82.7,1.9583333333333333,28.331_-82.7
1300,28.452,-80.984,2.064516129032258,28.452_-80.984
1958,29.96,-95.419,2.607843137254902,29.96_-95.419
10421,38.617,-121.532,2.0476190476190474,38.617_-121.532
27576,32.206,-110.876,1.1875,32.206_-110.876
9185,37.547,-122.291,2.059322033898305,37.547_-122.291
10264,38.544,-121.474,2.0106382978723403,38.544_-121.474
12091,39.678,-105.936,3.75,39.678_-105.936
12727,40.099,-76.259,2.103448275862069,40.099_-76.259
7202,34.264,-119.24,2.111111111111111,34.264_-119.24
27277,27.944,-82.336,1.9375,27.944_-82.336
26972,34.065,-117.492,2.0,34.065_-117.492
15710,43.025,-87.922,2.1818181818181817,43.025_-87.922
12317,39.824,-75.083,2.054054054054054,39.824_-75.083
26867,39.812,-84.22800000000001,2.0,39.812_-84.22800000000001
4421,33.778,-117.876,2.05,33.778_-117.876
1755,29.74,-95.459,2.3043478260869565,29.74_-95.459
10217,38.497,-121.448,2.0625,38.497_-121.448
3660,33.412,-111.892,2.1052631578947367,33.412_-111.892
19682,36.755,-119.759,2.0,36.755_-119.759
22700,33.783,-117.217,2.0,33.783_-117.217
27774,35.792,-78.614,1.9523809523809523,35.792_-78.614
23760,35.798,-78.562,2.0,35.798_-78.562
13249,40.699,-111.892,2.0625,40.699_-111.892
6926,34.155,-118.294,2.0727272727272728,34.155_-118.294
14810,41.87,-87.877,2.787878787878788,41.87_-87.877
27344,28.348,-81.233,1.9285714285714288,28.348_-81.233
23831,43.597,-116.355,2.0,43.597_-116.355
3676,33.428,-112.078,2.138888888888889,33.428_-112.078
6554,34.093,-118.31,2.094117647058824,34.093_-118.31
6808,34.145,-118.369,2.125,34.145_-118.369
14307,41.351,-72.868,2.0625,41.351_-72.868
12932,40.476,-104.992,2.6875,40.476_-104.992
23786,27.871,-82.327,2.0,27.871_-82.327
18940,34.016,-118.141,2.0,34.016_-118.141
22334,33.998,-117.856,2.0,33.998_-117.856
27379,28.493,-81.476,1.95,28.493_-81.476
16819,45.539,-122.682,2.25,45.539_-122.682
13660,40.773,-74.043,2.2,40.773_-74.043
16009,44.858,-93.351,2.008264462809917,44.858_-93.351
16952,45.809,-119.384,2.1,45.809_-119.384
25033,45.597,-122.551,2.0,45.597_-122.551
14824,41.871,-87.75,2.8378378378378377,41.871_-87.75
14046,40.993,-78.254,2.064516129032258,40.993_-78.254
4115,33.697,-84.405,2.4444444444444446,33.697_-84.405
13779,40.822,-73.958,2.263157894736842,40.822_-73.958
19746,34.011,-118.131,2.0,34.011_-118.131
19987,35.081,-81.709,2.0,35.081_-81.709
6156,34.057,-117.298,2.117647058823529,34.057_-117.298
21725,34.155,-118.265,2.0,34.155_-118.265
7155,34.232,-118.474,2.134920634920635,34.232_-118.474
17764,26.483,-80.08500000000001,2.0,26.483_-80.08500000000001
19553,33.913000000000004,-118.148,2.0,33.913000000000004_-118.148
12942,40.488,-111.895,2.230769230769231,40.488_-111.895
19878,39.967,-111.784,2.0,39.967_-111.784
15449,42.449,-83.22,2.193548387096774,42.449_-83.22
4970,33.882,-117.588,2.230769230769231,33.882_-117.588
22571,44.745,-123.052,2.0,44.745_-123.052
24231,33.912,-118.147,2.0,33.912_-118.147
4826,33.87,-117.704,2.0350877192982457,33.87_-117.704
11667,39.218,-76.659,2.5,39.218_-76.659
17856,38.366,-122.713,2.0,38.366_-122.713
242,25.812,-80.245,2.125,25.812_-80.245
15307,42.369,-87.915,2.363636363636364,42.369_-87.915
4707,33.853,-117.925,2.0806451612903225,33.853_-117.925
1251,28.381,-81.506,2.0434782608695654,28.381_-81.506
2532,32.668,-97.235,2.1206896551724137,32.668_-97.235
19372,33.989,-118.065,2.0,33.989_-118.065
13984,40.908,-74.036,2.3125,40.908_-74.036
10110,38.338,-85.81400000000001,2.4705882352941178,38.338_-85.81400000000001
27472,30.32,-81.721,1.9555555555555555,30.32_-81.721
8665,36.976,-120.079,2.111111111111111,36.976_-120.079
10215,38.496,-121.373,2.073170731707317,38.496_-121.373
20606,38.76,-121.261,2.0,38.76_-121.261
16575,45.355,-122.622,2.185185185185185,45.355_-122.622
8529,36.832,-76.295,2.1333333333333333,36.832_-76.295
27732,35.261,-80.84100000000001,1.9565217391304348,35.261_-80.84100000000001
1390,28.54,-81.311,2.033333333333333,28.54_-81.311
6037,34.04,-118.06,2.185185185185185,34.04_-118.06
11413,39.071,-94.489,2.473684210526316,39.071_-94.489
26755,25.796,-80.37,2.0,25.796_-80.37
308,25.857,-80.208,2.2051282051282053,25.857_-80.208
8809,37.25,-121.927,2.017857142857143,37.25_-121.927
17574,45.115,-93.189,2.0,45.115_-93.189
6890,34.152,-118.098,2.037037037037037,34.152_-118.098
3364,32.93,-97.317,2.08,32.93_-97.317
5616,34.009,-118.417,2.068376068376069,34.009_-118.417
15674,42.972,-85.697,2.2222222222222223,42.972_-85.697
11414,39.071,-84.52,2.4705882352941178,39.071_-84.52
14902,41.908,-87.664,2.574468085106383,41.908_-87.664
25082,38.982,-77.168,2.0,38.982_-77.168
8598,36.889,-76.231,2.333333333333333,36.889_-76.231
8391,36.243,-86.785,2.103448275862069,36.243_-86.785
543,26.047,-80.163,2.176470588235294,26.047_-80.163
11369,39.046,-94.418,2.1724137931034484,39.046_-94.418
8786,37.211,-77.298,2.066666666666667,37.211_-77.298
28238,38.458,-122.423,1.9583333333333333,38.458_-122.423
18456,41.736,-72.665,2.0,41.736_-72.665
2491,32.654,-117.106,2.090909090909091,32.654_-117.106
12856,40.338,-74.63,2.6666666666666665,40.338_-74.63
22307,32.909,-96.718,2.0,32.909_-96.718
18509,34.886,-82.068,2.0,34.886_-82.068
10250,38.531,-90.314,2.4285714285714284,38.531_-90.314
26655,26.104,-80.251,2.0,26.104_-80.251
17378,39.909,-86.077,2.0,39.909_-86.077
20218,44.196,-121.399,2.0,44.196_-121.399
8470,36.757,-119.755,3.647058823529412,36.757_-119.755
18811,42.985,-78.46900000000001,2.0,42.985_-78.46900000000001
5631,34.011,-117.822,2.1,34.011_-117.822
26516,34.072,-117.776,2.0,34.072_-117.776
17342,33.79,-80.994,2.0,33.79_-80.994
5163,33.916000000000004,-84.29,2.392857142857143,33.916000000000004_-84.29
26175,27.77,-82.334,2.0,27.77_-82.334
22102,38.505,-121.456,2.0,38.505_-121.456
3679,33.429,-112.094,2.260869565217391,33.429_-112.094
26542,38.013,-121.877,2.0,38.013_-121.877
17840,38.797,-77.196,2.0,38.797_-77.196
4814,33.869,-117.731,2.06,33.869_-117.731
12169,39.738,-86.043,2.2222222222222223,39.738_-86.043
15936,44.647,-121.13,2.0625,44.647_-121.13
7374,34.437,-118.372,2.235294117647059,34.437_-118.372
22246,33.68,-117.761,2.0,33.68_-117.761
21014,26.115,-80.318,2.0,26.115_-80.318
10447,38.631,-90.235,2.3125,38.631_-90.235
21072,43.702,-121.478,2.0,43.702_-121.478
15064,42.197,-87.99,2.5,42.197_-87.99
2027,30.036,-89.912,2.875,30.036_-89.912
19839,38.576,-121.313,2.0,38.576_-121.313
24033,33.954,-118.044,2.0,33.954_-118.044
18866,33.868,-118.285,2.0,33.868_-118.285
17337,43.832,-123.046,2.0,43.832_-123.046
18065,38.638,-121.385,2.0,38.638_-121.385
15031,42.154,-87.985,2.0892857142857144,42.154_-87.985
7832,35.256,-81.032,2.259259259259259,35.256_-81.032
4386,33.774,-118.075,2.0919540229885056,33.774_-118.075
15196,42.318,-122.86,2.027027027027027,42.318_-122.86
27871,36.569,-121.756,1.896551724137931,36.569_-121.756
18719,33.835,-117.523,2.0,33.835_-117.523
1098,27.964,-82.444,2.1875,27.964_-82.444
23573,45.198,-93.393,2.0,45.198_-93.393
26888,43.383,-121.731,2.0,43.383_-121.731
13848,40.844,-73.906,2.037735849056604,40.844_-73.906
292,25.844,-80.208,2.3955223880597014,25.844_-80.208
11002,38.915,-94.768,2.2666666666666666,38.915_-94.768
3008,32.798,-96.682,2.4705882352941178,32.798_-96.682
6923,34.155,-118.4,2.2830188679245285,34.155_-118.4
22205,25.899,-80.186,2.0,25.899_-80.186
24385,25.899,-80.292,2.0,25.899_-80.292
6782,34.14,-117.249,2.175,34.14_-117.249
3908,33.584,-117.672,2.1,33.584_-117.672
3603,33.357,-80.59,2.0526315789473686,33.357_-80.59
183,25.785,-80.19,2.1777777777777776,25.785_-80.19
23861,33.742,-117.438,2.0,33.742_-117.438
22599,34.035000000000004,-118.093,2.0,34.035000000000004_-118.093
12494,39.94,-75.01,2.310344827586207,39.94_-75.01
6624,34.115,-118.269,2.2195121951219514,34.115_-118.269
22142,38.155,-121.678,2.0,38.155_-121.678
20630,26.33,-81.78,2.0,26.33_-81.78
3081,32.827,-96.623,2.3181818181818183,32.827_-96.623
25209,27.388,-82.455,2.0,27.388_-82.455
26161,41.852,-122.57,2.0,41.852_-122.57
17141,47.61,-122.331,2.1333333333333333,47.61_-122.331
24908,25.89,-80.211,2.0,25.89_-80.211
10243,38.525,-77.365,2.235294117647059,38.525_-77.365
10296,38.557,-121.449,2.025,38.557_-121.449
16010,44.858,-93.345,2.0526315789473686,44.858_-93.345
15094,42.232,-87.855,2.391304347826087,42.232_-87.855
25953,32.988,-117.256,2.0,32.988_-117.256
27936,37.363,-121.899,1.876470588235294,37.363_-121.899
13452,40.732,-73.92,2.216216216216216,40.732_-73.92
26293,35.322,-119.038,2.0,35.322_-119.038
6414,34.072,-118.055,2.2142857142857144,34.072_-118.055
2958,32.788000000000004,-117.161,2.073170731707317,32.788000000000004_-117.161
19470,40.226,-111.679,2.0,40.226_-111.679
20780,32.287,-110.996,2.0,32.287_-110.996
3733,33.461,-112.074,2.15,33.461_-112.074
10730,38.813,-77.143,2.25,38.813_-77.143
8502,36.778,-76.43900000000001,2.5454545454545454,36.778_-76.43900000000001
332,25.876,-80.324,2.0416666666666665,25.876_-80.324
17616,46.12,-123.926,2.0,46.12_-123.926
19236,25.684,-80.417,2.0,25.684_-80.417
537,26.042,-80.164,2.1818181818181817,26.042_-80.164
1113,27.987,-82.327,2.1944444444444446,27.987_-82.327
13365,40.72,-73.94500000000001,2.28,40.72_-73.94500000000001
134,25.769,-80.337,2.009433962264151,25.769_-80.337
9695,37.824,-122.304,2.083333333333333,37.824_-122.304
16381,45.062,-93.16,2.275,45.062_-93.16
5973,34.036,-118.27,2.43859649122807,34.036_-118.27
27218,36.593,-121.877,2.0,36.593_-121.877
9639,37.785,-122.245,2.020833333333333,37.785_-122.245
17190,47.713,-122.328,2.380952380952381,47.713_-122.328
3126,32.839,-97.168,2.45,32.839_-97.168
22171,34.096000000000004,-117.303,2.0,34.096000000000004_-117.303
27086,42.739,-73.685,2.0,42.739_-73.685
3922,33.598,-117.175,2.037037037037037,33.598_-117.175
12824,40.268,-74.51,2.025,40.268_-74.51
22610,33.847,-118.212,2.0,33.847_-118.212
8779,37.199,-77.423,2.090909090909091,37.199_-77.423
22859,38.505,-121.243,2.0,38.505_-121.243
19854,39.861,-75.352,2.0,39.861_-75.352
17816,43.44,-124.221,2.0,43.44_-124.221
19186,29.116,-82.22,2.0,29.116_-82.22
25740,36.775,-119.843,2.0,36.775_-119.843
1239,28.366,-81.515,2.1232876712328768,28.366_-81.515
4117,33.698,-117.943,2.1451612903225805,33.698_-117.943
3957,33.629,-84.401,2.342857142857143,33.629_-84.401
24863,41.734,-72.749,2.0,41.734_-72.749
1052,27.882,-82.656,2.4761904761904763,27.882_-82.656
21992,40.618,-111.905,2.0,40.618_-111.905
5036,33.895,-118.051,2.0454545454545454,33.895_-118.051
14366,41.539,-73.014,2.111111111111111,41.539_-73.014
5966,34.036,-118.318,2.042372881355932,34.036_-118.318
18300,33.882,-117.646,2.0,33.882_-117.646
15620,42.887,-85.68,2.0625,42.887_-85.68
14890,41.902,-87.921,2.558139534883721,41.902_-87.921
8501,36.775,-76.373,2.083333333333333,36.775_-76.373
7140,34.226,-117.412,2.060606060606061,34.226_-117.412
15411,42.418,-82.935,2.4565217391304346,42.418_-82.935
5873,34.031,-118.031,2.117647058823529,34.031_-118.031
11792,39.306,-76.744,2.325,39.306_-76.744
1373,28.535,-81.385,2.555555555555556,28.535_-81.385
26740,33.876,-118.074,2.0,33.876_-118.074
14989,42.017,-87.937,2.473684210526316,42.017_-87.937
20797,44.786,-117.812,2.0,44.786_-117.812
5045,33.897,-117.493,2.0804597701149423,33.897_-117.493
26568,37.834,-122.485,2.0,37.834_-122.485
27099,25.698,-80.446,2.0,25.698_-80.446
15245,42.341,-83.118,2.142857142857143,42.341_-83.118
11802,39.311,-76.745,2.090909090909091,39.311_-76.745
8710,37.038,-76.393,2.2777777777777777,37.038_-76.393
16016,44.859,-93.357,2.066666666666667,44.859_-93.357
13310,40.712,-111.904,2.0454545454545454,40.712_-111.904
25912,29.866,-95.488,2.0,29.866_-95.488
7523,34.89,-92.103,2.076923076923077,34.89_-92.103
7291,34.311,-117.474,2.333333333333333,34.311_-117.474
9011,37.39,-121.993,2.05,37.39_-121.993
407,25.925,-80.282,2.048780487804878,25.925_-80.282
25873,32.755,-117.109,2.0,32.755_-117.109
27809,36.074,-86.639,1.9166666666666667,36.074_-86.639
19988,37.018,-120.129,2.0,37.018_-120.129
11108,38.948,-76.861,2.083333333333333,38.948_-76.861
6940,34.156,-118.264,2.075,34.156_-118.264
14425,41.579,-87.629,2.0434782608695654,41.579_-87.629
20088,33.866,-117.998,2.0,33.866_-117.998
24152,28.551,-81.397,2.0,28.551_-81.397
12252,39.783,-105.063,2.875,39.783_-105.063
20826,33.137,-117.177,2.0,33.137_-117.177
22353,44.097,-123.114,2.0,44.097_-123.114
8057,35.756,-78.671,2.0476190476190474,35.756_-78.671
13857,40.845,-73.927,2.0185185185185186,40.845_-73.927
27247,27.252,-82.536,1.9411764705882355,27.252_-82.536
4035,33.672000000000004,-112.024,2.0980392156862746,33.672000000000004_-112.024
26238,37.955,-121.319,2.0,37.955_-121.319
9650,37.794,-122.207,2.0641025641025643,37.794_-122.207
26371,30.49,-86.122,2.0,30.49_-86.122
5120,33.912,-118.154,2.027027027027027,33.912_-118.154
1745,29.734,-95.46,2.5,29.734_-95.46
10676,38.792,-77.026,2.034482758620689,38.792_-77.026
22857,37.9,-122.071,2.0,37.9_-122.071
4036,33.672000000000004,-112.01,2.3076923076923075,33.672000000000004_-112.01
3135,32.841,-97.338,2.2,32.841_-97.338
13224,40.695,-74.16,2.1875,40.695_-74.16
1906,29.867,-95.407,2.5294117647058822,29.867_-95.407
19919,25.698,-80.163,2.0,25.698_-80.163
17831,34.289,-117.452,2.0,34.289_-117.452
7082,34.198,-118.475,2.1818181818181817,34.198_-118.475
19419,33.959,-118.115,2.0,33.959_-118.115
5134,33.913000000000004,-118.114,2.098360655737705,33.913000000000004_-118.114
18090,35.829,-78.76,2.0,35.829_-78.76
13185,40.686,-73.726,2.24,40.686_-73.726
9632,37.782,-122.397,2.1777777777777776,37.782_-122.397
8659,36.968,-76.416,3.5,36.968_-76.416
3019,32.801,-96.827,2.2777777777777777,32.801_-96.827
26393,45.555,-92.991,2.0,45.555_-92.991
4884,33.876,-118.346,2.037037037037037,33.876_-118.346
676,26.213,-80.137,2.0416666666666665,26.213_-80.137
364,25.9,-80.32600000000001,2.6538461538461537,25.9_-80.32600000000001
8790,37.217,-112.977,4.0,37.217_-112.977
10384,38.595,-121.445,2.0675675675675675,38.595_-121.445
3987,33.652,-117.768,2.0869565217391304,33.652_-117.768
1495,28.706,-81.382,2.036363636363636,28.706_-81.382
14249,41.247,-73.08200000000001,2.0476190476190474,41.247_-73.08200000000001
28045,37.609,-120.977,1.8571428571428568,37.609_-120.977
5623,34.01,-118.16,2.047058823529412,34.01_-118.16
4642,33.84,-117.876,2.185185185185185,33.84_-117.876
14719,41.82,-88.20400000000001,2.414634146341464,41.82_-88.20400000000001
8212,36.041,-86.652,2.08,36.041_-86.652
3162,32.855000000000004,-83.637,2.823529411764706,32.855000000000004_-83.637
17038,47.35,-122.245,2.4074074074074074,47.35_-122.245
4930,33.877,-118.134,2.0545454545454547,33.877_-118.134
18980,29.717,-95.519,2.0,29.717_-95.519
14807,41.87,-87.914,2.6842105263157894,41.87_-87.914
10952,38.887,-77.218,2.311926605504587,38.887_-77.218
17460,33.987,-117.889,2.0,33.987_-117.889
17744,34.172000000000004,-118.465,2.0,34.172000000000004_-118.465
14664,41.796,-87.815,2.95,41.796_-87.815
24351,44.85,-123.011,2.0,44.85_-123.011
7603,35.062,-81.999,2.037735849056604,35.062_-81.999
25810,25.812,-80.20700000000001,2.0,25.812_-80.20700000000001
22984,40.759,-74.081,2.0,40.759_-74.081
22495,33.94,-117.267,2.0,33.94_-117.267
12105,39.692,-86.237,2.1515151515151514,39.692_-86.237
6882,34.152,-118.127,2.05,34.152_-118.127
15982,44.803,-123.228,2.4705882352941178,44.803_-123.228
25032,34.855000000000004,-82.271,2.0,34.855000000000004_-82.271
12447,39.911,-104.991,2.1538461538461537,39.911_-104.991
6674,34.121,-117.897,2.25,34.121_-117.897
2097,30.247,-97.736,2.117647058823529,30.247_-97.736
2868,32.771,-117.136,2.117647058823529,32.771_-117.136
12127,39.708,-86.265,2.333333333333333,39.708_-86.265
11023,38.923,-76.931,2.2142857142857144,38.923_-76.931
24666,38.837,-77.446,2.0,38.837_-77.446
16980,47.094,-122.619,2.1052631578947367,47.094_-122.619
16043,44.862,-93.151,2.0476190476190474,44.862_-93.151
10815,38.851,-76.959,2.225806451612903,38.851_-76.959
20728,34.089,-117.935,2.0,34.089_-117.935
17241,33.894,-118.331,2.0,33.894_-118.331
9135,37.509,-121.971,2.088235294117647,37.509_-121.971
2782,32.757,-97.319,2.130434782608696,32.757_-97.319
13090,40.641,-74.20700000000001,2.087719298245614,40.641_-74.20700000000001
6619,34.113,-118.177,2.135135135135135,34.113_-118.177
2478,32.646,-117.06,2.375,32.646_-117.06
8295,36.139,-86.72800000000001,2.207547169811321,36.139_-86.72800000000001
21942,45.434,-118.364,2.0,45.434_-118.364
4464,33.789,-118.208,2.024390243902439,33.789_-118.208
24041,32.725,-117.075,2.0,32.725_-117.075
13320,40.713,-73.729,2.0526315789473686,40.713_-73.729
2045,30.155,-89.85300000000001,2.0625,30.155_-89.85300000000001
10568,38.701,-90.267,2.4705882352941178,38.701_-90.267
8705,37.032,-122.023,2.023809523809524,37.032_-122.023
1988,29.992,-95.425,2.5,29.992_-95.425
11088,38.941,-94.794,2.3,38.941_-94.794
27352,28.371,-81.51,1.7222222222222223,28.371_-81.51
13724,40.8,-73.93,2.411764705882353,40.8_-73.93
9869,37.961,-122.331,2.25,37.961_-122.331
5345,33.945,-118.171,2.120567375886525,33.945_-118.171
18534,29.718,-95.52,2.0,29.718_-95.52
27834,36.157,-86.775,1.973684210526316,36.157_-86.775
1630,29.63,-95.17,3.272727272727273,29.63_-95.17
7826,35.253,-92.934,2.117647058823529,35.253_-92.934
28236,38.455,-122.727,1.6666666666666667,38.455_-122.727
20400,33.978,-118.392,2.0,33.978_-118.392
2980,32.792,-96.793,2.333333333333333,32.792_-96.793
13918,40.864,-74.423,2.0588235294117645,40.864_-74.423
23294,39.988,-75.255,2.0,39.988_-75.255
3036,32.806,-117.114,2.125,32.806_-117.114
2445,32.581,-117.087,2.0869565217391304,32.581_-117.087
17000,47.2,-122.266,2.0625,47.2_-122.266
6070,34.046,-118.269,2.046511627906977,34.046_-118.269
1970,29.974,-90.065,2.294117647058824,29.974_-90.065
15692,42.99,-83.741,2.176470588235294,42.99_-83.741
12053,39.621,-77.79,2.375,39.621_-77.79
14172,41.158,-73.245,2.2,41.158_-73.245
24441,32.796,-96.762,2.0,32.796_-96.762
2011,30.007,-90.299,2.1052631578947367,30.007_-90.299
23654,36.135,-86.801,2.0,36.135_-86.801
17559,41.117,-74.119,2.0,41.117_-74.119
20115,45.011,-93.055,2.0,45.011_-93.055
8202,36.027,-87.215,2.235294117647059,36.027_-87.215
1202,28.224,-80.717,2.117647058823529,28.224_-80.717
19051,25.733,-80.305,2.0,25.733_-80.305
23672,34.065,-117.546,2.0,34.065_-117.546
21876,34.069,-117.965,2.0,34.069_-117.965
22946,33.759,-117.465,2.0,33.759_-117.465
27737,35.291000000000004,-80.77,1.96,35.291000000000004_-80.77
18985,25.718,-80.351,2.0,25.718_-80.351
3018,32.801,-97.055,2.36,32.801_-97.055
17888,34.817,-118.885,2.0,34.817_-118.885
18756,35.036,-120.486,2.0,35.036_-120.486
11245,39.014,-94.694,2.090909090909091,39.014_-94.694
1405,28.547,-81.254,2.85,28.547_-81.254
14604,41.765,-72.627,2.2758620689655173,41.765_-72.627
21569,32.456,-93.723,2.0,32.456_-93.723
25357,34.154,-118.384,2.0,34.154_-118.384
5513,33.99,-117.36,2.1052631578947367,33.99_-117.36
22018,34.142,-81.23,2.0,34.142_-81.23
3182,32.864,-117.19,2.117647058823529,32.864_-117.19
5522,33.992,-117.154,2.117647058823529,33.992_-117.154
12554,39.976,-75.199,2.0625,39.976_-75.199
11373,39.048,-94.643,2.275,39.048_-94.643
23968,34.225,-117.41,2.0,34.225_-117.41
17556,43.117,-123.36,2.0,43.117_-123.36
9532,37.734,-122.191,2.111111111111111,37.734_-122.191
25345,25.76,-80.337,2.0,25.76_-80.337
6700,34.128,-117.92,2.269230769230769,34.128_-117.92
3118,32.837,-97.044,2.5,32.837_-97.044
22399,36.163,-86.794,2.0,36.163_-86.794
19913,35.202,-80.72500000000001,2.0,35.202_-80.72500000000001
21243,33.943,-118.281,2.0,33.943_-118.281
25307,37.841,-77.452,2.0,37.841_-77.452
4166,33.715,-84.249,2.435897435897436,33.715_-84.249
6637,34.117,-117.201,2.085714285714286,34.117_-117.201
18343,27.939,-82.325,2.0,27.939_-82.325
2907,32.778,-117.109,2.0588235294117645,32.778_-117.109
13524,40.744,-74.214,2.0294117647058822,40.744_-74.214
15112,42.24,-87.906,2.688888888888889,42.24_-87.906
22156,34.12,-117.905,2.0,34.12_-117.905
4135,33.704,-84.405,2.2222222222222223,33.704_-84.405
28018,37.552,-122.309,1.8235294117647056,37.552_-122.309
9564,37.75,-122.404,2.2222222222222223,37.75_-122.404
15927,44.589,-117.466,2.090909090909091,44.589_-117.466
17577,33.883,-117.538,2.0,33.883_-117.538
19572,34.134,-117.6,2.0,34.134_-117.6
